,sample,alb,biclyr,lob,mac,micmon,muepri,sinstemar,pureCount,hybCount,hyb,sinstemar_1,muepri_1,alb_1,biclyr_1,lob_1,mac1_1,mac2_1,micmon_1,macComb,
122,SYST-MOR-0006821,none,none,none,pure?,none,none,none,1,0,pure,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.876794,0.123146,1.00E-05,0.99994,TRUE
123,SYST-MOR-0006822,pure?,none,none,none,none,none,none,1,0,pure,1.00E-05,1.00E-05,0.99993,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,TRUE
124,SYST-MOR-0006823,none,none,none,none,none,none,pure?,1,0,pure,0.99993,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,FALSE
125,SYST-MOR-0006824,pure?,none,none,none,none,none,none,1,0,pure,1.00E-05,1.00E-05,0.99993,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,TRUE
126,SYST-MOR-0006825,none,none,none,none,none,none,pure?,1,0,pure,0.99993,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,FALSE
127,SYST-MOR-0006826,none,none,none,none,none,none,pure?,1,0,pure,0.99993,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,FALSE
128,SYST-MOR-0006827,none,none,none,none,none,pure?,none,1,0,pure,1.00E-05,0.99993,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,FALSE
129,SYST-MOR-0006828,none,none,none,none,none,pure?,none,1,0,pure,1.00E-05,0.999927,1.00E-05,1.00E-05,1.00E-05,1.30E-05,1.00E-05,1.00E-05,2.30E-05,FALSE
130,SYST-MOR-0006829,none,none,none,none,none,pure?,none,1,0,pure,1.00E-05,0.99993,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,FALSE
131,SYST-MOR-0006830,none,none,none,none,none,pure?,none,1,0,pure,1.00E-05,0.99993,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,FALSE
