V1	wc2.1_30s_bio_2	wc2.1_30s_bio_6	wc2.1_30s_bio_8	wc2.1_30s_bio_13	wc2.1_30s_bio_14	wc2.1_30s_bio_18
SYST-MOR-0007424.bam	13.4499998092651	-5.90000009536743	13.4000005722046	116	56	284
SYST-MOR-0007425.bam	10.8833332061768	-9.69999980926514	15.0500001907349	109	38	297
SYST-MOR-0007426.bam	10.8833332061768	-9.69999980926514	15.0500001907349	109	38	297
SYST-MOR-0007427.bam	10.8833332061768	-9.69999980926514	15.0500001907349	109	38	297
SYST-MOR-0007428.bam	10.8666667938232	-9.60000038146973	15.0666666030884	110	38	298
SYST-MOR-0007429.bam	10.875	-9.69999980926514	15.0333337783813	110	38	298
SYST-MOR-0007430.bam	10.8666667938232	-9.60000038146973	15.0666666030884	110	38	298
SYST-MOR-0007431.bam	10.8666667938232	-9.60000038146973	15.0666666030884	110	38	298
SYST-MOR-0007432.bam	10.8833332061768	-9.69999980926514	15.0500001907349	109	38	297
SYST-MOR-0007433.bam	10.8833332061768	-9.69999980926514	15.0500001907349	109	38	297
SYST-MOR-0007434.bam	10.8833332061768	-9.69999980926514	15.0500001907349	109	38	297
SYST-MOR-0007437.bam	11.0749998092651	-10.8999996185303	14.966667175293	93	30	224
SYST-MOR-0007440.bam	11.0166664123535	-10.8999996185303	15.0166664123535	93	29	222
SYST-MOR-0007441.bam	11.0166664123535	-10.8999996185303	15.0166664123535	93	29	222
SYST-MOR-0007444.bam	11.0749998092651	-10.8999996185303	14.966667175293	93	30	224
SYST-MOR-0007446.bam	11.8083333969116	-16.3999996185303	21.25	116	14	320
SYST-MOR-0007447.bam	11.8083333969116	-16.3999996185303	21.25	116	14	320
SYST-MOR-0007448.bam	11.8083333969116	-16.3999996185303	21.25	116	14	320
SYST-MOR-0007449.bam	11.8083333969116	-16.3999996185303	21.25	116	14	320
SYST-MOR-0007450.bam	11.8083333969116	-16.3999996185303	21.25	116	14	320
SYST-MOR-0007451.bam	11.8083333969116	-16.3999996185303	21.25	116	14	320
SYST-MOR-0007452.bam	11.8083333969116	-16.3999996185303	21.25	116	14	320
SYST-MOR-0007453.bam	11.8083333969116	-16.3999996185303	21.25	116	14	320
SYST-MOR-0007454.bam	11.8083333969116	-16.3999996185303	21.25	116	14	320
SYST-MOR-0007455.bam	12.0249996185303	-17.8999996185303	20.4499988555908	111	17	292
SYST-MOR-0007456.bam	12.0249996185303	-17.8999996185303	20.4499988555908	110	17	291
SYST-MOR-0007457.bam	12.0249996185303	-17.8999996185303	20.4499988555908	110	17	291
SYST-MOR-0007458.bam	12.0249996185303	-17.8999996185303	20.4499988555908	110	17	291
SYST-MOR-0007459.bam	12.0249996185303	-17.8999996185303	20.4499988555908	110	17	291
SYST-MOR-0007460.bam	12.0249996185303	-17.8999996185303	20.4499988555908	110	17	291
SYST-MOR-0007461.bam	12.0249996185303	-17.8999996185303	20.4499988555908	110	17	291
SYST-MOR-0007462.bam	12.0249996185303	-17.8999996185303	20.4499988555908	110	17	291
SYST-MOR-0007463.bam	12.0249996185303	-17.8999996185303	20.4499988555908	110	17	291
SYST-MOR-0007464.bam	12.0249996185303	-17.8999996185303	20.4499988555908	110	17	291
SYST-MOR-0007465.bam	12.0249996185303	-17.8999996185303	20.4499988555908	110	17	291
SYST-MOR-0007466.bam	11.5249996185303	-7.90000009536743	19.7333335876465	108	52	296
SYST-MOR-0007467.bam	11.5249996185303	-7.90000009536743	19.7333335876465	108	52	296
SYST-MOR-0007468.bam	11.5249996185303	-7.90000009536743	19.7333335876465	108	52	296
SYST-MOR-0007469.bam	11.5249996185303	-7.90000009536743	19.7333335876465	108	52	296
SYST-MOR-0007470.bam	11.5249996185303	-7.90000009536743	19.7333335876465	108	52	296
SYST-MOR-0007472.bam	11.5249996185303	-7.90000009536743	19.7333335876465	108	52	296
SYST-MOR-0007473.bam	11.5249996185303	-7.90000009536743	19.7333335876465	108	52	296
