File	Sample	samtools	readsmapped	read1	read2	properly_paired	pairsmapped	singleton	mateondifcsome	mateHQondifcsome (mapQ>=5)
SYST-MOR-0007048.bam	SYST-MOR-0007048	samtools 1.21	89077523	44877121	44200402	73712174	83410574	5666949	3460152	1139067
SYST-MOR-0007049.bam	SYST-MOR-0007049	samtools 1.21	90253755	45448246	44805509	74949964	83992354	6261401	3255846	1033233
SYST-MOR-0007050.bam	SYST-MOR-0007050	samtools 1.21	86894034	43838105	43055929	69894944	80379892	6514142	3783338	1178336
SYST-MOR-0007051.bam	SYST-MOR-0007051	samtools 1.21	136476556	68814899	67661657	108951150	126394356	10082200	5922036	1928902
SYST-MOR-0006718.bam	SYST-MOR-0006718	samtools 1.21	84371277	42523751	41847526	70202188	78599212	5772065	3005316	918218
SYST-MOR-0007052.bam	SYST-MOR-0007052	samtools 1.21	125341528	62971382	62370146	113270792	118193410	7148118	2047010	568585
SYST-MOR-0007053.bam	SYST-MOR-0007053	samtools 1.21	123988063	62501534	61486529	99925188	115910370	8077693	5307204	1757721
SYST-MOR-0007054.bam	SYST-MOR-0007054	samtools 1.21	106607195	53597387	53009808	89426712	100561048	6046147	3741456	1211996
SYST-MOR-0007055.bam	SYST-MOR-0007055	samtools 1.21	117056152	59010807	58045345	95679086	109636938	7419214	4815332	1534298
SYST-MOR-0007056.bam	SYST-MOR-0007056	samtools 1.21	93495423	47141269	46354154	76810778	87321340	6174083	3676152	1237950
SYST-MOR-0007057.bam	SYST-MOR-0007057	samtools 1.21	83750147	42192718	41557429	69498862	77844462	5905685	2982966	934922
SYST-MOR-0007058.bam	SYST-MOR-0007058	samtools 1.21	87922036	44264582	43657454	71153996	81728470	6193566	3638566	1197702
